id	synopsis	rating	genre	director	writer	theater_date	dvd_date	currency	box_office	runtime	studio
949	Jorgos (Rainer Werner Fassbinder) is a Greek immigrant in Germany who encounters the intolerance of the locals against foreign workers. Open hostility turns to violence when he is beaten up by the authoritarian thugs after dating a German woman. Male and female nudity along with hetero and homosexual sex scenes are shown in this searing indictment against prejudice and fascism. This feature took the Prize of International Film Critics at the Mannheim Film Festival in 1969.	R	Art House and International|Drama	Rainer Werner Fassbinder	Rainer Werner Fassbinder	Oct 8, 1969	Sep 24, 2002			90 minutes	
950	A young man trying to break out of his blue collar life in New Jersey finds himself snared by a web of crime and deceit in this independent drama. Just released after an 18-month stretch in prison, 20-year-old Eddie Dolan (Billy Crudup) has few prospects and nowhere to go, so he appears on the doorstep of his older brother Terry (Paul Schulze). Terry takes him in, giving him a place to stay and helping him get a job at the factory where their dad Nick (Frank Vincent) has worked nearly all his adult life. However, times are not happy around the Dolan household; money is tight, and Terry's relationship with his wife Janey (Adrienne Shelly) has been rocky since the birth of their first child six months before. Eddie starts earning some extra cash by joining up with a group of car thieves pulling insurance scams, and in time, he makes enough money to buy a muscle car, which he races in his spare time. On the night shift at the factory, Eddie spends his days working on his car, while Janey, bored with her new role as a stay-at-home mom, starts spending more and more time with him; eventually they move past friendship into an affair, which like Eddie's involvement with the carjackers becomes only more dangerous in the weeks to come. Grind marked the feature debut for writer/director Chris Kentis; Billy Crudup's appearance predated his breakthrough roles in Inventing the Abbotts and Everyone Says I Love You, though both of those films were released before Grind could find a distributor.	NR	Drama	Chris Kentis	Laura Lau|Chris Kentis	Apr 11, 1997	Feb 13, 2001			96 minutes	
952	Director Cyrus Nowrasteh teams with screenwriter Betsy Giffen Nowrasteh to illuminate the dangers of religious fundamentalism, gender apartheid, and mob rule with this fictionalized adaptation of Freidoune Sahebjam's best-selling novel centering on a true-life tragedy. The story takes place in 1986, just as Khomeini is coming into power in Iran. Undercover French journalist Freidoune Sahebjam (Jim Caviezel) is traveling though a small southwestern village when his car breaks down. Surrounded by strife but left with little choice other to wait until his car is repaired, the anxious Freidoune is soon approached by persistent local Zahra (Shohreh Aghdashloo), who convinces him to follow her into the courtyard behind her home. There, she reveals to him that she has just borne witness to a most heinous crime. Just the previous day, Zahra had watched the men or her town stone an innocent woman to death. That woman was Soraya (Mozhan Marn	R	Drama	Cyrus Nowrasteh	Betsy Giffen Nowrasteh|Cyrus Nowrasteh	Jun 26, 2009	Mar 9, 2010	$	519,730	114 minutes	Roadside Attractions
953	This is the labyrinthine study of the life of a newspaper tycoon.	PG	Classics|Drama|Mystery and Suspense	Orson Welles		May 1, 1941	Sep 25, 2001			119 minutes	
957	J.J. Hunsecker, a powerful New York newspaper columnist, is dead set against his sister's marrying a jazz musician. Sidney Falco, a sleazy PR man, will do anything to get publicity for his clients, and he sees Hunsecker's situation as an opportunity to win the writer's favor. So, he sets out to break up the affair anyway he can.	NR	Classics|Drama	Alexander Mackendrick	Clifford Odets|Ernest Lehman	Jun 27, 1957	Jun 19, 2001			96 minutes	
959	Two young women try to climb the corporate ladder using their feminine wiles in this erotic melodrama from French director Jean-Claude Brisseau. At the beginning of the film, Nathalie (Coralie Revel) and Sandrine (Sabrina Seyvecou) work in a strip club, where Nathalie wows the customers with her dancing while Sandrine tends bar. After a fight with their boss, both of them are tossed out late one night. Sandrine, a newcomer to Paris, is late paying her rent and can't go back to her apartment, so Nathalie invites her to move in with her. They become lovers, and after occupying themselves for awhile by behaving very naughtily in public, decide to conquer the working world with their powers of seduction. They both find jobs at a seemingly normal company and choose as their target a mild-mannered middle-aged bureaucrat named Delacroix (Roger Mirmont). But the company has some kinky secrets of its own, personified by the owner's son Christophe (Fabrice Deville), a decadent nihilist with a very close relationship with his sister, in whom the women might have met their match.	NR	Art House and International|Drama|Romance	Jean-Claude Brisseau	Jean-Claude Brisseau	Apr 9, 2003	Nov 23, 2004			115 minutes	
961	The feature debut of Roman Coppola (son of Oscar-winning director Francis Ford Coppola) centers around an international film crew making a low-budget, Barbarella-like feature in Paris in 1969. The film is called Dragonfly and is being directed by Andrzej (G	R	Comedy|Drama	Roman Coppola	Roman Coppola	May 24, 2002	Sep 10, 2002	$	301,194	91 minutes	United Artists Pictures/MGM
962	Punk rocker, performance artist, and persona nongrata G.G. Allin shocked and offended audiences everywhere with his famous violent, naked (literally) performances often featuring self-mutilation, bloody assault, and coprophilia. Todd Phillips directs this documentary look at the life and death of rock &amp; roll's most dangerous practitioner.	NR	Documentary|Musical and Performing Arts	Todd Phillips		Jan 1, 1994	Jan 25, 2000			120 minutes	
963	"A chronicle of the spectacular fall of infamous porn star John C. ""Johnny Wadd"" Holmes. Based on a true story, the biopic explores the multiple murders that took place high atop Wonderland Avenue in L.A.'s Laurel Canyon, in the summer of 1981. At first the victims were thought to be mere drug dealers and party hounds, but the case became elevated to a classic L.A. noir when they were discovered to be connected to the infamous porn star. By the time the story begins, Holmes had already fallen from perhaps the biggest and most famous star in the hardcore industry, to a state of financial and pharmaceutical ruin. Holmes juggles two women: he is devoted to his jailbait teenage girlfriend Dawn, while still married to his wife Sharon--and the three form a most unique love triangle, particularly as the two women have a better relationship with each other, than either has with him. Holmes befriends local drug dealers Ron and Susan Launius, but soon gets himself 'neck deep' into debt and desperation. He starts playing both sides against the middle as he desperately tries to stay out of jail and stay alive. To save himself from the wrath of notorious gangster Eddie Nash, did Holmes set up his best friends for murder? It all depends on whose story you believe."	R	Drama	James Cox		Oct 3, 2003	Feb 10, 2004			104 minutes	Lions Gate Releasing
964	In 1995, during the making of his TV series Triumph of the Nerds about the birth of the PC, Bob Cringely did a memorable hour-long interview with Steve Jobs. It was 10 years since Jobs had left Apple following a bruising struggle with John Sculley, the CEO he had brought into the company. At the time of the interview Jobs was running NeXT, the niche computer company he had founded after leaving Apple. During the interview, Jobs was at his charismatic best - witty, outspoken, visionary. In the end, only a part of the interview was used in the series and the rest was thought lost. But recently a VHS copy was found in the series director's garage. Now, cleaned up with modern technology, and put into context by Cringely, the entire interview will be screened in Landmark Theatres. -- (C) Official Site	NR	Documentary|Special Interest	Jonathan Challis|Susan Crook|John Coffey|Ian Lynch		May 11, 2012	Oct 22, 2012	$	104,286	70 minutes	Magnolia Pictures
966	"Elvira hosts this trilogy of Richard Matheson thrillers: ""Second Chance,"" ""Bobby"" and ""No Such Thing as a Vampire."""	R	Horror		Richard Matheson					76 minutes	
967	John Landis tries for a laid-back surrealism in his romantic thriller Into the Night. Jeff Goldblum plays an exhausted and unhappily married aerospace engineer named Ed Okin. He goes to LA International Airport to get some sleep in the parking garage. Instead, a scatterbrained blonde beauty, Diana (Michelle Pfeiffer) falls on his car, being chased by a bunch of sharpshooters. It seems that Diana has smuggled six Iranian jewels into the United States and a group of assassins want them back at any price. Ed and Diana take to the freeway, looking for a place to rest, but the chase never ends and the duo keep running from the pack of Iranian zanies.	R	Action and Adventure|Art House and International|Comedy|Drama|Mystery and Suspense	John Landis	Ron Koslow|John Landis	Feb 22, 1985	Sep 2, 2003			115 minutes	
968	Arnab a typical Bengali man is making his way back to Kolkata after meeting a girl, the arranged marriage way. He and his parents liked the girl and marriage is on the cards. But suddenly, there is an accident. His car hits an old woman. They take her to the hospital. But she dies on the way. This is how Arnab meets Rukhsana, a mysterious girl who lives in a hut outside a village with a few dogs, whose mother always shackles her to a pole with metal chains before she leaves the house.	NR	Art House and International|Horror|Mystery and Suspense	Prosit Roy	Abhishek Bannerjee|Prosit Roy|Rajat Kapoor						
969	Convinced that a series of coincidences involving a doorman hold some secret to life's largest riddles, Albert Markovski seeks the help of a detective agency unlike any other--which leads him down a path that questions the essence of existence itself. In an attempt to ferret out the meaning of these flukes, he consults Bernard and Vivian Jaffe, AKA the Existential Detectives, a pair of married metaphysicians who fearlessly investigate the mysteries at the core of their clients' secret innermost lives. Bernard and Vivian kick off their existential exploration of Albert Markovski by probing his past and present reality. Along the way, they uncover his festering conflict with Brad Stand, a golden boy executive climbing the corporate ladder at Huckabees, a popular chain of retail super-stores that wants to sponsor Albert's Open Spaces Coalition for the PR value. The Existential Detectives are convinced that Brad (seemingly Albert's opposite) is the key to cracking Albert's case, but then Brad turns the tables on their investigation, by hiring the detectives himself. As Bernard and Vivian begin to dig deeper into Brad's ambition and his relationship with Huckabees' hot blonde spokes model Dawn, Albert begins to lose faith and rebels against their conclusions. Pairing up with another of the duo's clients--firefighter, tough guy and uncompromising soul searcher Tommy--he joins forces with the Jaffes' arch nemesis, the sexy French philosopher Caterine Vauban, who valiantly battles for the contrasting point of view. Now, as Being chases Nothingness, Albert, Tommy, Brad, Dawn, Bernard, Vivian and Caterine chase one another in a wild romp through life's biggest questions to find the true answer.	R	Comedy|Drama			Oct 1, 2004	Feb 22, 2005	$	12,711,889	106 minutes	Fox Searchlight
970	Forty-something Francois Pignon, who has worked for years as an accountant for the same contraceptive manufacturer, becomes suicidal when he learns that his company is downsizing and he is about to lose his job. Work means everything to this gloomy and boring little man since both his ex-wife, who left him after two years of marriage, and their 16-year-old son avoid him. But things are about to change when Pignon's psychologist neighbor persuades him that he can save his job by coming out to his employers as a gay man -- even though he isn't.	R	Art House and International|Comedy|Drama	Francis Veber	Francis Veber	May 4, 2001	Nov 13, 2001	$	4,519,967	85 minutes	
971	Born Free is the heartwarming true story of a British couple who teach their pet lioness how to survive in the wilds of the African jungles. Joy and George Adamson (portrayed by real-life married couple Virginia McKenna and Bill Travers) involuntarily domesticate several lions while living in Kenya. They keep one, named Elsa, until she is fully grown, and rather than turn her over to a zoo, they decide to train her to live like a wild animal so that they can release her into her natural habitat. Geoffrey Keen is a sympathetic government official who convinces the Adamsons that they should set Elsa free to avoid being ordered to place her in captivity. The film, based on Joy Adamson's book, is poignant and emotional without ever becoming banal or overly sentimental. The title song and film score both won Academy Awards.	PG	Action and Adventure|Drama|Kids and Family	James Hill		Jun 22, 1966	Mar 4, 2003			96 minutes	
972	During the 1970s, the Gong Show was a game/talent show phenomenon. With equal measures of parody, camp and pure lowest-common denominator exploitation, it presented a bizarre assortment of talented and untalented contestants (for example, the musician who played his trumpet with his bellybutton) making their bid for stardom, and a ridiculous prize of	R	Comedy	Chuck Barris	Chuck Barris					89 minutes	
973	One of the most popular and influential video games ever makes its way to the big screen in this sci-fi thriller. A coalition of Earth's scientific and military interests have established a research colony called Olduvai on the planet Mars, but one day all communication from the outpost stops and no one can tell what has happened -- though the final messages suggest it's not good. Believing foul play may have overtaken Olduvai's crew, the Rapid Response Tactical Squad, a team of specially trained military personnel, are deployed to investigate the situation and, if necessary, eliminate the invaders. But Sarge (Dwayne Johnson, aka The Rock) and Reaper (Karl Urban), leaders of the RRTS team, soon discover the situation is far more grim than they could have imagined. An experiment on Olduvai has very literally opened a portal to Hades, and a variety of savage and demonic creatures have overtaken the colony. Now the RRTS must seal off Olduvai, close off any access to Earth, and exterminate the satanic beasts before they can kill again. Doom also stars Rosamund Pike (as Dr. Grimm), Dexter Fletcher, Ben Daniels, and Deobia Oparei.	R	Action and Adventure|Horror|Science Fiction and Fantasy	Andrzej Bartkowiak	Dave Callaham|Wesley Strick	Oct 21, 2005	Feb 7, 2006	$	28,031,250	104 minutes	Universal Pictures
974	Based on the autobiographical novel by Farley Mowat, Carroll Ballard's film chronicles the work of Tyler (Charles Martin Smith), a biologist who sets out alone on a government-sponsored mission to study the lives of Arctic wolves, an experience which ultimately becomes a journey of self-discovery as well.	PG	Action and Adventure|Drama	Carroll Ballard	Richard Kletter|Curtis Hanson|Sam Hamm	Jan 1, 1983	Feb 22, 2000			105 minutes	
975	On her deathbed, a mother makes her son promise never to get married, which scars him with psychological blocks to a commitment with his girlfriend. They finally decide to tie the knot in Vegas, but a wealthy gambler arranges for the man to lose	PG-13	Comedy|Romance	Andrew Bergman	Andrew Bergman	Aug 28, 1992	May 15, 2001			95 minutes	
976	Model-turned-actress Charlize Theron leaves her glamorous image behind for this gritty drama, in which she plays a disturbed prostitute who becomes a serial killer. Aileen Wuornos (Theron) was a woman who survived a brutal and abusive childhood in Michigan to become a thick-skinned but emotionally damaged adult. Homeless most of her life, Wuornos subsisted by working as a street prostitute; later, when she was in Florida, down to her last five dollars and pondering suicide, she stopped into a bar for a beer. There, Aileen met Selby Wall (Christina Ricci), a woman in her early twenties who had been sent to live with relatives after her Christian parents became aware of her lesbian lifestyle. Selby is immediately attracted to Aileen, and while Aileen tells Selby she's never been in a lesbian relationship, she soon finds herself equally infatuated with her. Selby runs away from her family and moves into a cheap hotel with Aileen, who initially pays the bills by hooking. However, as their money runs low and Aileen finds herself unable to land a regular job, tensions mount between the two. One night, after a john attacks her, Aileen pulls a gun and kills the man. Although her first murder can be categorized as self-defense, Aileen's loathing for the men who pay her for sex becomes so extreme that she begins killing her customers regardless of their behavior. Meanwhile, Selby slowly becomes aware of the full extent of her lover's instability and the bloody consequences of her actions. Monster was inspired by the true story of Aileen Wuornos, whose life and death was chronicled in two documentaries by filmmaker Nick Broomfield, Aileen Wuornos: The Selling of a Serial Killer, and Aileen: The Life and Death of a Serial Killer.	R	Drama	Patty Jenkins	Patty Jenkins	Jan 9, 2004	Jun 1, 2004	$	34,187,787	109 minutes	Newmarket Film Group
977	Based on the Robert Rimmer best-seller, Ted Post's drama stars Tippi Hedren and James Whitmore as the heads of an experimental college promoting sexual freedom.	R	Drama|Romance	Ted Post	Ted Cassedy|Michael Werner	May 11, 1973	Jan 1, 1998			96 minutes	
978	'THX 1138' is a chilling look at a 25th-century totalitarian state where mankind is stripped of any individuality. People are numbered drones, and a government-enforced program of sedating drugs controls the populace. The story's title character, THX, is a factory worker whose life is irrevocably changed when he stops taking his mind-numbing drugs.	PG	Drama|Science Fiction and Fantasy	George Lucas	George Lucas|Walter Murch	Mar 11, 1971	Sep 14, 2004			88 minutes	Warner Bros. Pictures
980	Connery's decision to quit as Bond left Broccoli and Saltzman with a headache. The press went into overdrive speculating on Connery's successor; while the producers chose good-looking Australian actor George Lazenby after successful screen tests. Avengers superstar Diana Rigg was brought in as an added lure and the resulting action-packed film ensured that the franchise would continue.	PG	Action and Adventure|Mystery and Suspense|Romance	Peter Hunt	Richard Maibaum|Simon Raven	Dec 18, 1969	May 16, 2000			144 minutes	
981	A pair of real-life multi-platinum rap artists star in this genial substance abuse comedy recalling the pro-marijuana work of Cheech and Chong and such films as Half Baked (1998). Silas (Method Man) and Jamal (Redman) are buddies who enjoy smoking voluminous amounts of the illegal plant. They end up in the possession of some magical weed that enhances their brainpower during college entrance exams, thus enabling them to enter that esteemed institution of learning, Harvard University. Once firmly ensconced in the halls of academia, however, the pals run out of their supernatural supply and are forced to get creative in the pursuit of an Ivy League degree. Included in their narcotic-addled plans: smoking the bones of dead president John Quincy Adams. Produced by Danny DeVito's Jersey Films, How High (2001) co-stars Obba Babatunde, Fred Willard, and Hector Elizondo.	R	Comedy	Jesse Dylan	Dustin Lee Abraham	Dec 21, 2001	May 21, 2002	$	31,155,435	94 minutes	Universal Pictures
983	In Volker Schl	R	Art House and International|Drama			Apr 11, 1980	Oct 12, 1999			150 minutes	
984	A teenager and his kid brother spar with their mother's shady new boyfriend in this dramatic thriller from veteran British director Michael Apted. When her ex-husband remarries, Wendy (Teri Garr) feels despondent -- until she starts dating handsome, unctuous Sam (Peter Weller), an underemployed salesman with no shortage of big ideas. Excited to finally feel good about herself again, Wendy invites Sam to move in and offers to invest in his get-rich-quick schemes. None of this sits well with her sons, Jake (Christopher Collet) and Brian (Corey Haim), who remain unimpressed with Sam even after he convinces Wendy to buy Jake a motorbike. They're even less jazzed when Sam stops currying favor and turns disciplinarian even while pulling Wendy into his hard-partying lifestyle. Within a few months, Brian's on the verge of expulsion for picking fights at school, and even honor-role student Jake is mouthing off to his teachers. As for Wendy, she's too busy taking beatings and doing cocaine to notice that her family has fallen apart. It isn't until Jake gets wise to the industrial quantities of white powder squirreled away under the floorboards that he comes up with a plan to get Sam out of their lives forever. Although onetime Tiger Beat heartthrob Christopher Collet plays Firstborn's title role, the films' supporting cast is littered with actors whose stars would far eclipse his (Sarah Jessica Parker, Robert Downey Jr.) -- though in some cases only for a little while (Corey Haim).	PG-13	Drama|Mystery and Suspense	Michael Apted	Ron Koslow	Jun 1, 1984	Jul 31, 2012			103 minutes	
985	When his family is attacked and his son killed by a local gang, mild-mannered Eddie (Robert Forster) snaps when the killer isn't brought to justice. Tired of being a victim, Eddie joins a group of vigilantes and sets to freeing his neighborhood from the threat of the bullying thugs.	R	Action and Adventure|Drama	William Lustig	Richard Vetere	Jan 12, 1983	Aug 25, 1998			95 minutes	Blue Underground
986	The story of Jesus Christ's crucifixion and its aftermath are the subject of this sometimes iconoclastic but always passionate religious drama. On its initial release, the film was the center of a notable controversy, thanks to protests from fundamentalists objecting to the film's unconventional depiction of Jesus.	R	Drama	Martin Scorsese	Paul Schrader	Aug 12, 1988	Apr 25, 2000			164 minutes	Universal Pictures
988		NR	Horror							83 minutes	
992	In 1988, Taileen slips into a coma after a car accident. Twelve years later, she wakes to a new world, a new body, and a newlife... the life of an angel.	NR	Horror|Mystery and Suspense	Luis Almeida	Luis Almeida	Nov 21, 2006	Nov 21, 2006			106 minutes	
994	"Fresh Horses features Molly Ringwald as Jewel, a Kentucky shanty gal. Jewel finds herself romantically involved with wealthy University of Cincinnati student Matt Larkin (Andrew McCarthy). Though willing to throw over his ""proper"" fiancee for Jewel, Matt isn't prepared for the horrible secret that Jewel holds within her. Directed by David Anspaugh, Fresh Horses is also known as The Eccentricity of People and Syntax."	PG-13	Drama|Romance	David Anspaugh	Larry Ketron	Nov 18, 1988	Mar 23, 2004			102 minutes	
996	A depressed ex-boxer finds his future looking up when his black sheep cousin turns his life into a living hell.	NR	Comedy|Drama|Mystery and Suspense	Nicanor Loreti		Nov 5, 2011	Jun 18, 2013			85 minutes	
997	John Denver stars in this thrilling drama--originally a TV film that aired in 1988--as a jaded former FBI agent who agrees to help out his friend's air-freight business. But when his buddy is murdered and framed as a bootlegger, it's up to the one-time G-Man to clear his fallen friend's good name. And he's going to do it by taking...the higher ground. John Rhys-Davies, Richard Masur, and THE KARATE KID's Martin Kove co-star in this dramatic action-adventure movie set amid the Alaskan wilderness.	NR	Action and Adventure							96 minutes	
998	Set amidst the political and economic havoc caused by the dissolution of the Soviet Union, City Unplugged is based on a simple premise. During World War II, before the Soviet occupation, Estonia sent its national treasury,	NR	Comedy|Mystery and Suspense	Ilkka Jarvilaturi	Paul Kolsby					99 minutes	
999	"Yet another teenager discovers how difficult growing up can be in this comedy-drama. It's 1973, and 15-year-old Natalie (Majandra Delfino), shy and bookish, is caught in the emotional crossfire at home when her hippie-ish mom, Ruby (Linda Hamilton), discovers that dad, Hugh (Eugene Levy), a psychology professor at a local college, has been having an affair with one of his students. Natalie is having problems of her own, of the ""boys don't make passes at girls who wear glasses"" variety, which is not helped very much by her friend Kay (Megan Good), who is pretty enough to have already caught the attention of several good-looking boys. However, much to Natalie's surprise, one of Kay's new flames starts giving her the eye, and appears to like what he sees. The Secret Life Of Girls was the directorial debut for screenwriter Holly Goldberg Sloan, whose previous credits include the remakes of Angels In The Outfield and Mighty Joe Young."	NR	Comedy	Holly Goldberg Sloan	Holly Goldberg Sloan					90 minutes	
1000	Jeff (William L. Petersen) and Marty (Gary Cole) are two businessmen who are sent to the Philippines for a project. The two men share a growing disenchantment with their professional lives and the responsibilities of adulthood, so they impulsively go on a drug and alcohol-fueled bender in search of the lost freedom and joie de vivre of youth.	R	Drama	Roger Young	Eric Lerner	Oct 9, 1999	Jun 6, 2000			105 minutes	
1001	Based on the 2009 investigative book by BBC correspondent Martin Sixsmith, The Lost Child of Philomena Lee, PHILOMENA focuses on the efforts of Philomena Lee (Dench), mother to a boy conceived out of wedlock - something her Irish-Catholic community didn't have the highest opinion of - and given away for adoption in the United States. In following church doctrine, she was forced to sign a contract that wouldn't allow for any sort of inquiry into the son's whereabouts. After starting a family years later in England and, for the most part, moving on with her life, Lee meets Sixsmith (Coogan), a BBC reporter with whom she decides to discover her long-lost son. (c) Weinstein	PG-13	Drama	Stephen Frears	Jeff Pope|Steve Coogan	Nov 22, 2013	Apr 15, 2014			98 minutes	The Weinstein Company
1002	"No film critic of 1989 could write an assessment of the French-made Gang of Four (originally La Bande des Quatre) without using the phrase ""Pirandellian"" at one point or another. The story revolves around the hand-picked acting class of a famed director (Bulle Ogier) who works only with women. The four members of the class (Fejria Deliba, Nathalie Richard, Bernadette Giraud and Ines de Medeiros D'Almeida) are assigned to study the text of the Marivaux play Double Infidelities. Now, it just so happens that the four actresses share an apartment...and as they begin allowing the Marivaux play to influence their offstage lives, they share a lot more than room and board. A winner of the Berlin Film Festival International Critics prize, Gang of Four maintains an acceptable level of suspense and sexual intrigue throughout, though the spell is broken by a confusing climax."	NR	Action and Adventure|Art House and International|Drama	Jacques Rivette	Pascal Bonitzer|Christine Laurent	Dec 22, 1989	Jan 2, 2002			150 minutes	
1004	"Based on the Pulitzer Prize-winning novel by Alice Walker, The Color Purple spans the years 1909 to 1949, relating the life of Celie (Whoopi Goldberg), a Southern black woman virtually sold into a life of servitude to her brutal husband, sharecropper Albert (Danny Glover). Celie pours out her innermost thoughts in letter form to her sister Nettie (Akousa Busia), but Albert has been hiding the letters Nettie writes back, allowing Celie to assume that Nettie is dead. Finally, Celie finds a champion in the don't-take-no-guff Sofia (Oprah Winfrey), the wife of Glover's son from a previous marriage. Alas, Sofia is ""humbled"" when she is beaten into submission by angry whites. Later, Celie is able to forge a strong friendship with Albert's mistress Shug (Margaret Avery). Emboldened by this, Celie begins rifling through her husband's belongings and finds Nettie's letters. Able at last to stand up to her husband, Celie leaves him to search for a new life on her own. A major box-office hit, The Color Purple was nominated for eleven Oscars. The film was co-produced by Quincy Jones, who also wrote the score."	PG-13	Drama	Steven Spielberg	Menno Meyjes	Dec 16, 1985	Feb 18, 2003			154 minutes	
1006	New York radio host Erica Bain has a life that she loves and a fiance she adores. All of it is taken from her when a brutal attack leaves Erica badly wounded and her fiance dead. Unable to move past the tragedy, Erica begins prowling the city streets at night to track down the men she holds responsible. Her dark pursuit of justice catches the public's attention, and the city is riveted by her anonymous exploits. But, with the NYPD desperate to find the culprit and a dogged police detective hot on her trail, she must decide whether her quest for revenge is truly the right path, or whether she is becoming the very thing she is trying to stop.	R	Action and Adventure|Drama|Mystery and Suspense	Neil Jordan		Sep 14, 2007	Feb 5, 2008	$	36,800,000	122 minutes	Warner Bros. Pictures
1007	Ernest (Jim Varney) gets a job as a fix-it man at a summer camp for troubled boys, but what he really wants to be is a counselor. This juvenile comedy, filled with potty humor and slapstick, chronicles his campaign to get a promotion. A consummate bungler, he ends up causing all kinds of comical chaos. Fortunately, he also ends up helping many of the campers.	PG	Comedy|Kids and Family		Coke Sams|John Cherry	May 22, 1987	Sep 3, 2002			92 minutes	
1008	After her sister becomes a heroin addict, a nurse (Pam Grier) takes gun in hand and goes undercover to track down the dealers responsible for her sister's condition.	R	Action and Adventure|Classics	Jack Hill	Jack Hill	Jun 13, 1973	Dec 26, 2001			91 minutes	
1009	Director James L. Brooks returns to the helm for this ensemble comedy starring Reese Witherspoon, Jack Nicholson, Paul Rudd, and Owen Wilson, which centers on the story of a passionate athlete who finds herself romantically torn between a narcissistic baseball star and a straight-laced businessman. As far back as Lisa (Witherspoon) can remember, her life has been defined by sports. Then, in the blink of an eye, she's cut from the team. With her identity in crisis as she attempts to regain her footing in life, Lisa begins dating Matty (Wilson), a Major League Baseball pitcher and notorious womanizer. Meanwhile, terminally honest businessman George (Rudd) finds himself on the road to financial ruin or worse after being wrongly implicated in a financial crime. As George struggles to clear his name and reconcile his turbulent relationship with his father, Charles (Nicholson), a chance meeting with Lisa at the lowest point in both of their lives leaves him optimistic that things may work out after all. Meanwhile, Lisa and George both realize that the only thing that's certain about the future is that we never know what fate has in store for us.	PG-13	Comedy|Drama|Romance			Dec 17, 2010	Mar 22, 2011	$	30,212,620	121 minutes	Columbia Pictures
1011	In Final Destination 5, Death is just as omnipresent as ever, and is unleashed after one man's premonition saves a group of coworkers from a terrifying suspension bridge collapse. But this group of unsuspecting souls was never supposed to survive, and, in a terrifying race against time, the ill-fated group frantically tries to discover a way to escape Death's sinister agenda. -- (C) Warner Bros	R	Horror	Steven Quale	Eric Heisserer	Aug 12, 2011	Dec 27, 2011	$	42,500,000	92 minutes	Warner Bros.
1013	Five-time Academy Award nominee Glenn Close stars in this emotional and thought-provoking tale of a woman forced to live as a man in 19th Century Ireland. After thirty years of keeping up the charade, a new love threatens to destroy everything she's worked so hard to build.. -- (C) Roadside Attractions	R	Drama		Glenn Close|Gabriella Prekop|John Banville|Gabrialla Prekop	Jan 27, 2012	May 15, 2012	$	3,014,541	113 minutes	Roadside Attractions
1014	When a young American travels to the city of Verona, home of the star-crossed lover Juliet Capulet of Romeo and Juliet fame, she joins a group of volunteers who respond to letters to Juliet seeking advice about love. When she answers one letter dated 1957, she inspires its author to travel to Italy in search of her long-lost love and sets off a chain of events that will bring a love into both their lives, unlike anything they ever imagined.	PG	Comedy|Drama|Romance	Gary Winick	Jose Rivera|Tim Sullivan	May 14, 2010	Sep 14, 2010	$	53,021,560	105 minutes	Summit Entertainment
1015	When a sixth grade class gets a malevolent new substitute who aims to train her students for an upcoming international competition in Paris, the suspicious students attempt to uncover the truth about their strange new substitute. The parents all seem to love the newly arrived educator, but the students know better. No only does this strange new arrival have a sadistic streak a mile wide, but she also seems to possess telekinetic powers in addition to having the ability to read minds. Paprika Steen stars in a sci-fi flavored thriller directed by Ole Bornedal (Nightwatch).	R	Horror|Kids and Family|Mystery and Suspense|Science Fiction and Fantasy	Ole Bornedal	Ole Bornedal|Henrik Prip	Feb 12, 2007	Oct 14, 2008			93 minutes	Grindstone Entertainment
1016	Incident at Loch Ness director Zak Penn takes the helm for this mockumentary that finds film and television star Woody Harrelson entering the Grand Championship of Poker in hopes of saving his late grandfather's popular hotel casino from a scheming real estate developer. As the wrecking ball swings ever closer, Harrelson continually ups the ante in order to take home the top prize at the world's most prestigious poker tournament. Co-stars Ray Romano, Werner Herzog, Cheryl Hines, David Cross, and Dennis Farina all put on their best poker face for a comedy where all bets are off and anything can happen.	R	Comedy	Zak Penn	Matt Bierman|Zak Penn	Jan 11, 2008	Jun 10, 2008			104 minutes	Anchor Bay Entertainment
1017	David Fincher's The Curious Case of Benjamin Button, an adaptation of F. Scott Fitzgerald's story, re-teams the director with Brad Pitt, who takes on the title role. What makes Button such a curious case is that when he is born in New Orleans just after World War I, he is already in his eighties, and proceeds to live his life aging in reverse. This sweeping film follows the character's unusual life into the 21st century as he experiences joy and sadness, loves lost and found, and the meaning of timelessness. Cate Blanchett co-stars along with Tilda Swinton, Elias Koteas, and Julia Ormond.	PG-13	Drama|Science Fiction and Fantasy|Romance	David Fincher	Eric Roth|Robin Swicord	Dec 25, 2008	May 5, 2009	$	127,490,802	166 minutes	Paramount
1020	The title character of the Russian Little Vera is a headstrong teenage girl, played by Natalya Negoda. To the dismay of her parents, Vera lives only for the moment, making no provision for her future. She'd rather hang out at local cafes in garish makeup and provocative clothing. A chance meeting with handsome student Sergei (Andrei Sokolov) develops into a sexual relationship. Her parents send out Vera's brother (Alexander Alexeyev-Negreba) to talk some sense into her, which proves to be doubly dicey when it turns out that the brother is an old acquaintance of the rebellious Sergei. Vera lies, saying that she's gotten pregnant by Sergei, so he obligingly marries her and moves in with her family, which serves only to make matters worse, as Vera's drunken father (Yuri Nazarov) ends up stabbing his son-in-law. Persuaded to lie about the incident to keep her father out of jail, Vera takes her family's side. A last-minute tragedy is barely averted, but the audience gets the distinct feeling that Vera's problems with her family in particular and her life in general are far from over.	NR	Art House and International|Drama|Romance	Vasili Pichul	Mariya Khmelik	Apr 14, 1989	Aug 28, 2000			130 minutes	
